mz_time	JDC_20160102_LU.CT22_001	JDC_20160102_LU.CT23_001	JDC_20160102_LU.CT24_001	JDC_20160102_LU.CT48_001	JDC_20160102_LU.CT50_001	JDC_20160102_LU.CTH26_001	JDC_20160102_LU.CTH28_001	JDC_20160102_LU.CTH46_001	JDC_20160102_LU.CTH47_001	JDC_20160102_LU.CTH49_001
85.02818673_232.906	851275.766	1201323.742	2058313.78	1240872.034	1257486.648	3371312.665	331266.1574	414331.5514	306331.3709	499836.6415
85.04751022_258.039	140540.8511	406739.8578	1787067.683	998986.0709	441801.9976	3879117.413	363992.4084	1356743.238	1092638.1	733128.4401
85.07762634_316.7395	7760936.08	11053103.86	1537327.308	13492210.53	13403262.24	20023429.09	8041889.72	1087348.512	21249943.85	4084501.851
86.05978839_252.945	1057830.539	2101377.249	2406470.347	1484503.785	1631644.81	3297419.945	1400003.159	1949169.498	2400074.69	1397805.947
86.05977978_85.6569	521897.6345	517429.0606	634085.4283	1474099.707	743193.6226	700172.2305	414284.4623	1463461.207	1465238.309	1005710.222
86.059773_115.7665	4432176.92	676570.6463	5652893.693	4999864.173	2957480.606	7427639.185	2190227.079	3395410.338	3764408.927	6515856.12
86.08091972_317.163	642151.856	1572897.18	4130228.841	1193080.357	1239669.601	2830366.618	663499.8327	1368128.004	3671258.521	1653216.31
86.09617651_208.387	42128844.69	87047516.38	102912911.9	104878875.5	78241476.78	149440548.6	79478829.02	104201607.2	167032580.1	149936076.9
86.09617598_125.6375	16345950.29	13159257.18	98681737.29	17709278.21	24460837.99	30485984.23	11786963.67	32376207.71	44366299.39	18012969.35
86.09617636_44.9649	461436.7971	480158.1684	1386280.794	1500911.927	1545277.843	1299779.702	457715.4733	1442387.675	1520888.293	1455668.013
86.09617868_347.227	3356941.268	3726131.959	2995503.466	2557002.018	4572664.574	5572200.524	3361329.285	2975188.786	4966937.212	4398644.631
86.90841063_248.997	1725670.631	3676281.722	6659468.823	5860236.106	2589895.505	11908368.25	1716889.438	4572193.545	2830614.622	4082572.147
87.05506053_253.006	338244.34	831240.0611	1664239.288	1279000.423	1002496.974	7449079.887	1085409.844	2467540.499	3003649.058	3591907.45
87.0995555_208.609	2229987.978	4769776.61	5321098.152	4583504.347	4131162.729	5585665.085	3518583.359	6175892.245	8128439.686	8292288.979
88.03906474_240.1765	1107809.947	1950083.927	6013686.208	2690134.294	2376783.794	17475699.12	2298976.843	5050567.968	5394756.209	3981916.993
88.03907042_217.3505	3815313.05	6270832.191	10230297.69	7204861.987	8506631.964	9631199.426	3580759.361	11929122.39	20173284.63	6972807.155
88.05125042_258.067	4372004.89	4831087.519	7904795.139	2082804.848	4295429.29	9084730.872	2663444.562	5419957.21	9892126.327	3915748.342
88.05756581_220.542	1197895.008	1268559.1	2406126.534	781205.378	1427547.18	1641937.291	1541397.575	1813604.219	3406921.729	804223.9719
88.06287491_311.2045	3549459.036	3412184.935	1809838.708	1000276.969	776483.4053	2638671.539	3413703.165	2257802.805	3500016.005	1460392.493
88.07545986_43.4566	5041396.73	3922925.238	6989605.827	6547892.182	15347539.45	8074466.836	3317795.136	12171824.76	19896691.49	12569488.12
88.07545751_119.865	8038028.663	9077069.633	7435198.087	8623370.001	9978125.213	11017678.63	8609359.262	7458729.543	5790347.37	7207978.777
88.11183518_122.451	6033857.036	6073359.899	2832715.585	6515819.797	5372429.044	4504965.066	6760167.138	5480638.255	5561004.645	8448007.242
88.11182478_45.4586	4417579.402	4119577.959	803309.0763	9224888.11	11430558.49	731853.3025	3668025.608	13321168.49	967590.1111	13675424.57
88.11185306_191.93	2139880.452	4799055.846	7901569.111	3162475.33	3674675.769	11726410.93	3089205.761	6611518.391	2941161.697	2492728.953
88.50883551_116.918	20882856.98	21759635.4	14473646.14	29090234.48	26296118.07	13043386	22769416.79	19662882.97	18853454.02	24252833.52
88.508834_26.6371	5127926.183	5824968.186	6477380.437	17861468.29	21256735.21	4826964.871	6250499.865	9520723.088	15707450.04	15879297.52
88.50884255_45.9793	4619707.121	9475148.964	14934573	22610631.58	26704947.34	20210520.58	7513526.832	34281178.85	37307289.48	23906598.72
88.50883979_2.190435	2785392.75	3890960.23	1691886.545	15505193.14	13372091.56	2947124.403	2212143.052	11683128.07	15272648.26	4878569.771
88.50884541_364.937	21866787.29	18942868.59	14210495.99	23395424.25	15429460.67	15342523.89	14164655.43	12081547.68	16480460.33	13686863.21
88.50885721_253.5735	5054842.515	4792064.47	5705110.239	8683373.303	7750246.056	1902487.599	2803024.461	8999850.734	3599031.751	5961025.035
89.00803666_45.361	5153726.364	2215167.017	11753626.31	12853473.66	10883167.16	13764560.69	4071934.967	14258120.21	26663527.11	12311251.23
89.00802993_116.3065	12174604.71	9915701.475	7194514.856	13528724.82	10567677.17	6116028.742	10455720.37	8962788.514	10307683.65	11849795.21
89.00804137_26.8048	1151257.715	2516243.9	1948830.001	5876664.368	7553932.913	1585054.832	1422990.765	6466704.409	6741583.975	6091851.843
89.00804749_306.855	13182724.76	9787945.462	7502115.676	12379899.11	13822264	7820904.315	10235187.01	11318638.79	10479249.5	13476249.15
89.03890993_258.073	255466.6996	664388.8474	643918.8095	1376210.457	1629630.21	866060.9762	1441181.446	1544007.354	945407.022	1123635.573
89.04157032_110.674	5117800.139	4596460.366	7888960.919	3904691.173	8358993.437	11899329.75	2920080.423	9225987.622	13973883.94	6454295.712
89.05458614_66.73525	539704.1644	491058.8689	2102505.236	528012.0488	967724.7904	1816256.367	253965.8098	910307.9823	2495967.35	724316.3705
89.05457987_258.061	129421023	139742897.3	234357753.4	103046388.2	127231706.8	265890357.9	80941466.28	162242921.6	288597113.1	123357685.8
89.4907196_45.1062	415422.8999	355072.4906	914765.7307	770715.798	1227493.708	830851.0874	289842.2506	1560028.47	1402298.992	1352550.293
89.49073084_26.30385	420173.4534	360966.3776	433276.8545	925163.1874	1412749.387	49328509.3	53415773.51	922682.3309	223228518.4	76133199.3
89.49073596_114.6815	556428.9475	751366.618	177467075.8	787241.0421	91798451.83	65611116.87	491738.8399	81823201.39	85962638.13	587933.5347
89.50410792_218.785	75389582.53	12867383.71	4241747.626	822786.3266	6947275.348	545728.9797	5062371.987	511867.1238	573473.9995	1194069.424
89.50652257_116.798	416452408.3	337169831.8	274738069.9	481677838.1	447304956	226052686	379575796.5	413643108.8	438399836	433754716.9
89.5065231_45.5612	110999471.2	161570846	343333521.2	405953362.6	463178965.4	292199133.4	110546706.8	790524560.6	572576354.1	408413677.2
89.50651503_26.6473	87821158.06	81625677.4	108418775.5	263056900.6	332084897.3	60129176.95	75733501.93	213938760.8	273674119.2	269138513.4
89.52230321_45.2667	312925.3169	411998.5871	927621.4375	654586.6735	943160.1245	98922266.47	250880.1411	454512.0609	1114783.221	1312076.209
89.52230998_26.1097	359298.3715	371189.8601	369316.7437	1388506.904	1058350.364	64771793.51	49954525.77	650094.7677	138607924.8	899481.1161
89.52229676_115.246	722277.5039	97952.27391	65768745.73	89417018.1	700417.5992	340802.1419	666488.7955	84298327.86	702736.5809	754879.494
90.0050487_45.657	809051.6445	1400848.317	2487374.344	1875105.398	2292491.173	3612937.324	947461.5531	3669183.593	3369267.544	3038998.163
